date,amount,type,category,subcategory,description,payment_mode,is_fixed_expense,recurring_frequency,recurring_id,is_anomaly,month,day_of_week,is_weekend
2023-01-08,587.59,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-09,4837.62,Expense,Repairs,Plumber,Plumber - Repairs,Card,False,,,True,1,Monday,False
2023-01-09,336.44,Expense,Fruits & Household,Household,Household - Fruits & Household,UPI,False,,,False,1,Monday,False
2023-01-09,35.97,Expense,Food-Snacks,Tea,Tea - Food-Snacks,Card,False,,,False,1,Monday,False
2023-01-09,396.95,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,UPI,False,,,False,1,Monday,False
2023-01-09,2249.94,Expense,Repairs,Vehicle Repair,Vehicle Repair - Repairs,UPI,False,,,False,1,Monday,False
2023-01-10,1402.54,Expense,Electricity Bill,Electricity,Electric Bill,Bank,True,Monthly,RECUR_006,False,1,Tuesday,False
2023-01-10,153.74,Expense,Food-Snacks,Sandwich,Sandwich - Fodo-Snacks,UPI,False,,,True,1,Tuesday,False
2023-01-11,1316.52,Expense,Shopping-Clothes,Shoes,Shoes - Shopping-Cltohes,Card,False,,,False,1,Wednesday,False
2023-01-11,74.64,Income,Bank Interest,Itnerest,Bank Interest Credited,Bank,False,,,False,1,Wednesday,False
2023-01-12,75.61,Expense,Food-Snacks,Sanwdich,Sandwich - Food-Snacks,UPI,False,,,False,1,Thursday,False
2023-01-13,106.59,Expense,Miscellaneous,Misc,Misc - Miscellaneous,UPI,False,,,False,1,Friday,False
2023-01-13,420.69,Expense,Entertainment,Movie,Movie - Entertainment,UPI,False,,,False,1,Friday,False
2023-01-13,896.6,Expense,Groceries,Local Kirana,Local Kirana - Groceries,UPI,False,,,False,1,Friday,False
2023-01-13,619.72,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,UPI,False,,,False,1,Friday,False
2023-01-14,702.31,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Saturday,True
2023-01-14,749.69,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Card,False,,,False,1,Saturday,True
2023-01-14,734.47,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Saturday,True
2023-01-14,738.3,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,UPI,False,,,False,1,Saturday,True
2023-01-14,107.06,Expense,Food-Snacks,Tea,Tea - Food-Snacks,UPI,False,,,False,1,Saturday,True
2023-01-15,733.98,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-15,428.48,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-15,653.4,Expense,Groceries,Grocery Shop,Grocery Shop - Groceries,Card,False,,,False,1,Sunday,True
2023-01-15,395.57,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-15,381.64,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-15,558.45,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-15,404.02,Expense,Food-Restaurant,Dineuot,Dineout - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-16,1470.98,Expense,Shopping-Clothes,Clothes,Clothes - Shopping-Clothes,UPI,False,,,False,1,Monday,False
2023-01-16,2194.13,Expense,Shopping-Clothes,Clothes,Clothes - Shopping-Clothes,Card,False,,,False,1,Monday,False
2023-01-17,170.24,Expense,Miscellaenous,Misc,Misc - Miscellaneous,UPI,False,,,False,1,Tuesday,False
2023-01-17,15.38,Expense,Travel-Public,Bus,Bus - Travel-Public,UPI,False,,,False,1,Tuesday,False
2023-01-18,172.93,Expense,Furits & Household,Fruits,Fruits - Fruits & Household,UPI,False,,,False,1,Wednesday,False
2023-01-18,479.09,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,Card,False,,,False,1,Wednesday,False
2023-01-18,835.83,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Wednesday,False
2023-01-18,101.98,Expense,Food-Snacks,Snacks,Snacks - Food-Snacks,UPI,False,,,True,1,Wednesday,False
2023-01-18,169.41,Expense,Meidcal,Pharmacy,Pharmacy - Medical,UPI,False,,,False,1,Wednesday,False
2023-01-18,603.63,Expense,Food-Restaurant,Restuarant,Restaurant - Food-Restaurant,Card,False,,,False,1,Wednesday,False
2023-01-18,571.65,Expense,Groceries,Big Bazaar,Big Bazaar - Groceries,UPI,False,,,False,1,Wednesday,False
2023-01-18,539.04,Expense,Groceries,Big Bazaar,Big Bazaar - Groceries,UPI,False,,,False,1,Wednesday,False
2023-01-19,1809.85,Expense,Groceries,Local Kirana,Local Kirana - Groceries,UPI,False,,,True,1,Thursday,False
2023-01-19,53.42,Expense,Food-Snacks,Snacks,Snacks - Food-Snacks,Card,False,,,False,1,Thursday,False
2023-01-20,450.22,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,UPI,False,,,False,1,Friday,False
2023-01-20,91.91,Expense,Travel-Public,Auto,Auto - Travel-Public,Card,False,,,False,1,Friday,False
2023-01-20,83.24,Expense,Travel-Public,Auto,No Description,UPI,False,,,False,1,Friday,False
2023-01-20,100.93,Expense,Food-Snacks,Cofefe,Coffee - Food-Snacks,Card,False,,,False,1,Friday,False
2023-01-20,119.63,Expense,Food-Snacks,Sandwich,No Description,UPI,False,,,False,1,Friday,False
2023-01-20,2970.69,Expense,Shopping-Clothes,Clothes,Clothes - Shopping-Clothes,UPI,False,,,False,1,Friday,False
2023-01-22,403.45,Expense,Food-Restaruant,Dineout,Dineuot - Food-Restaurant,UPI,False,,,False,1,Sunday,True
2023-01-22,375.91,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,1,Sunday,True
2023-01-22,570.39,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-22,459.43,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,1,Sunday,True
2023-01-22,522.68,Expense,Entertainment,Movie,Movie - Entertainment,UPI,False,,,True,1,Sunday,True
2023-01-22,564.64,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-22,645.56,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Sunday,True
2023-01-23,391.37,Expense,Food-Restauarnt,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Monday,False
2023-01-23,66.43,Expense,Food-Snacks,Coffee,Coffee - Food-Snacks,Card,False,,,False,1,Monday,False
2023-01-24,652.43,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Tuesday,False
2023-01-24,99.71,Expense,Food-Snacks,Snacks,Snacks - Food-Snacks,UPI,False,,,False,1,Tuesday,False
2023-01-25,628.86,Expense,Groceries,Local Kirana,Local Kirana - Groceries,UPI,False,,,False,1,Wednesday,False
2023-01-25,507.81,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,Acrd,False,,,False,1,Wednesday,False
2023-01-26,326.04,Expense,Groceries,Grocery Shop,Grocery Shop - Groceries,UPI,False,,,False,1,Thursday,False
2023-01-26,534.71,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,1,Thursday,False
2023-01-26,2934.33,Expense,Shopping-Clothes,Clothes,Clothes - Shopping-Clothes,Card,False,,,False,1,Thursday,False
2023-01-26,1320.27,Expense,Groceries,Big Bazaar,Big Bazaar - Groceries,UPI,False,,,True,1,Thursday,False
2023-01-26,478.58,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Thursday,False
2023-01-27,202.75,Expense,Salon,Haircut,Haircut - Salon,Card,False,,,False,1,Friday,False
2023-01-27,97.25,Expense,Food-Snacks,Tea,Tea - Food-Snacks,UPI,False,,,False,1,Friday,False
2023-01-28,720.15,Expense,Shopping-Other,Accessories,Accessories - Shopping-Other,UPI,False,,,False,1,Saturday,True
2023-01-28,359.29,Expense,Unknown,Dineout,Dineout - Food-Restaurant,Card,False,,,False,1,Saturday,True
2023-01-28,500.96,Expense,Shopping-Other,Accessories,Accessories - Shopping-Other,Card,False,,,False,1,Saturday,True
2023-01-29,295.0,Expense,Saoln,Haircut,Haircut - Salon,Card,False,,,False,1,Sunday,True
2023-01-30,2223.45,Expense,Shopping-Clothes,Shoes,Shoes - Shopping-Clothes,Cadr,False,,,False,1,Monday,False
2023-01-30,793.84,Expense,Groceries,Big Bazaar,Big Bazaar - Groceries,UPI,False,,,False,1,Monday,False
2023-01-30,2332.0,Expense,Atm Withdrawal,Cash Withdrawal,Atm Cash Withdrawal,Bank,False,,,False,1,Monday,False
2023-01-30,635.27,Expense,Fruits & Household,Household,Household - Fruits & Household,Card,False,,,True,1,Monday,False
2023-01-31,373.1,Expense,Groceries,Grocery Shop,Grocery Shop - Groceries,UPI,False,,,False,1,Tuesday,False
2023-02-01,378.55,Expense,Shopping-Other,Accessories,Accessories - Shopping-Other,Cash,False,,,False,2,Wednesday,False
2023-02-02,2497.46,Expense,Shopping-Clothes,Shoes,Shoes - Shopping-Clothes,UPI,False,,,False,2,Thursday,False
2023-02-02,78.9,Expense,Miscellaneous,Misc,Misc - Miscellaneous,UPI,False,,,False,2,Thursday,False
2023-02-02,38.59,Expense,Miscellaneous,Misc,Misc - Miscellaneous,UPI,False,,,False,2,Thursday,False
2023-02-02,137.67,Expense,Travel-Public,Auto,Auto - Travel-Public,UPI,False,,,False,2,Thursday,False
2023-02-02,663.06,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Card,False,,,False,2,Thursday,False
2023-02-02,4200.0,Expense,Mess Fee,Monthly Mess,Mess Monthly Fee,UPI,True,Monthly,RECUR_002,False,2,Thursday,False
2023-02-02,461.73,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Crad,False,,,False,2,Thursday,False
2023-02-03,269.72,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,UPI,False,,,False,2,Friday,False
2023-02-03,54588.0,Income,Salary,Monthly Salary,Salary Credited,Bank,False,,,False,2,Friday,False
2023-02-03,48.8,Expense,Stationery,Stationery,Stationery - Stationery,Card,False,,,False,2,Friday,False
2023-02-03,48.81,Expense,Food-Snacks,Sandwich,Sandwich - Food-Snacks,UPI,False,,,False,2,Friday,False
2023-02-03,97.5,Expense,Food-Snacks,Sandwich,Sandwich - Food-Snacks,UPI,False,,,False,2,Friday,False
2023-02-04,507.83,Expense,Shoppnig-Other,Gadgets,Gadgets - Shopping-Other,Card,False,,,False,2,Saturday,True
2023-02-04,358.64,Expense,Entertainment,Movie,Movie - Entertainment,Card,False,,,False,2,Saturday,True
2023-02-04,46.44,Expense,Miscellaneous,Misc,Misc - Miscellaneous,UPI,False,,,False,2,Saturday,True
2023-02-04,1539.65,Expense,Shopping-Clothes,Shoes,Shoes - Shopping-Clothes,UPI,False,,,False,2,Saturday,True
2023-02-04,255.49,Expense,Medical,Pharmacy,Pharmacy - Medical,UPI,False,,,False,2,Saturday,True
2023-02-05,44.49,Expense,Food-Snacks,Coffee,Coffee - Food-Snacks,Card,False,,,False,2,Sunday,True
2023-02-05,69.57,Expense,Food-Snacks,Tea,Tea - Food-Snacks,UPI,False,,,False,2,Sunday,True
2023-02-05,465.51,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,2,Sunday,True
2023-02-05,332.5,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-05,390.68,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-05,435.35,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-05,89.42,Expense,Food-Snacks,Snacks,Snacks - Food-Snacks,UPI,False,,,False,2,Sunday,True
2023-02-05,66.33,Expense,Stationery,Stationery,Stationery - Stationery,UPI,False,,,False,2,Sunday,True
2023-02-05,404.65,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-05,370.24,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-05,10000.0,Expense,Rent,1Bhk Rent,Monthly Rent,Bank,True,Monthly,RECUR_001,False,2,Sunday,True
2023-02-06,22.52,Expense,Travel-Public,Metro,Metro  -Travel-Public,UPI,False,,,False,2,Monday,False
2023-02-06,2200.0,Expense,Loan Emi,Personal Loan,Emi Payment,Bank,True,Monthly,RECUR_003,False,2,Monday,False
2023-02-06,1527.39,Expense,Shopping-Clothes,Shoes,Shoes - Shopping-Clothes,Card,False,,,False,2,Monday,False
2023-02-06,266.24,Expense,Medical,Pharmayc,Pharmacy - Medical,Card,False,,,False,2,Monday,False
2023-02-07,499.0,Expense,Insurance,Health Insurance,Mnothly Insurance,UPI,True,Monthly,RECUR_004,False,2,Tuesday,False
2023-02-07,389.79,Expense,Groceries,Local Kirana,Local Kirana - Groceries,Card,False,,,False,2,Tuesday,False
2023-02-07,295.86,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,2,Tuesday,False
2023-02-07,89.39,Expense,Miscellaneous,Misc,Misc - Miscellaneous,Card,False,,,False,2,Tuesday,False
2023-02-07,520.07,Expense,Insurance,Health Insurance,Mnothly Insurance,UPI,True,Monthly,RECUR_004,False,2,Tuesday,False
2023-02-08,399.0,Expense,Phone Recharge,Mobile Plan,No Description,UPI,True,Monthly,RECUR_005,False,2,Wednesday,False
2023-02-08,26.2,Expense,Travel-Public,Metro,Metro - Travel-Public,UPI,False,,,False,2,Wednesday,False
2023-02-08,1948.3,Expense,Repairs,Plumber,Plumber - Repairs,UPI,False,,,False,2,Wednesday,False
2023-02-08,487.11,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,UPI,False,,,False,2,Wednesday,False
2023-02-09,255.79,Expense,Entertainment,Movie,Movie - Entertainment,UPI,False,,,False,2,Thursday,False
2023-02-09,505.04,Expense,Shopping-Other,Accessories,Accessories - Shopping-Other,Card,False,,,False,2,Thursday,False
2023-02-10,1420.2,Expense,Electricity Bill,Electricity,Electric Bill,Bank,True,Monthly,RECUR_006,False,2,Friday,False
2023-02-10,958.61,Expense,Repairs,Laptop Repiar,Laptop Repair - Repairs,Card,False,,,False,2,Friday,False
2023-02-10,26.48,Expense,Travel-Public,Metro,Metro - Travel-Public,UPI,False,,,False,2,Friday,False
2023-02-10,877.39,Expense,Groceries,Local Kirana,Local Kirana - Groceries,UPI,False,,,False,2,Friday,False
2023-02-10,326.0,Expense,Shopping-Other,Misc,Misc - Shopping-Other,Card,False,,,False,2,Friday,False
2023-02-11,1373.74,Expense,Shopping-Clothes,Clothes,Clothes - Shopping-Clothes,UPI,False,,,False,2,Saturday,True
2023-02-11,260.93,Expense,Medical,Pharmacy,Pharmacy - Medical,Card,False,,,False,2,Saturday,True
2023-02-11,1744.0,Expense,Atm Withdrawal,Cash Withdrawal,Atm Cash Withdrawal,Bank,False,,,False,2,Saturday,True
2023-02-11,353.08,Expense,Entertainment,Movie,Movie - Entertainment,UPI,False,,,False,2,Saturday,True
2023-02-12,374.97,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-12,130.99,Expense,Fruits & Household,Household,Household - Fruits & Household,UPI,False,,,False,2,Sunday,True
2023-02-12,98.04,Income,Bank Interest,Interest,Bank Interest Creidted,Bank,False,,,False,2,Sunday,True
2023-02-12,374.47,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-12,508.53,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-12,416.91,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-13,351.71,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,Cash,False,,,False,2,Monday,False
2023-02-13,462.85,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,Card,False,,,False,2,Monday,False
2023-02-13,601.74,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,UPI,False,,,False,2,Monday,False
2023-02-13,577.63,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,UPI,False,,,False,2,Monday,False
2023-02-13,185.3,Expense,Miscellaneous,Misc,Misc - Miscellaneous,Cadr,False,,,False,2,Monday,False
2023-02-14,407.83,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,UPI,False,,,False,2,Tuesday,False
2023-02-14,435.07,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,2,Tuesday,False
2023-02-14,106.27,Expense,Statoinery,Stationery,Stationery - Stationery,Card,False,,,False,2,Tuesday,False
2023-02-14,425.11,Expense,Food-Restaurant,Restaurant,Restaurant - Food-Restaurant,Card,False,,,False,2,Tuesday,False
2023-02-14,1736.76,Expense,Repairs,Plumber,No Description,Card,False,,,False,2,Tuesday,False
2023-02-14,266.44,Expense,Medical,Pharmacy,Pharmacy - Medical,UPI,False,,,False,2,Tuesday,False
2023-02-14,324.48,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,Card,False,,,False,2,Tuesday,False
2023-02-14,1512.8,Expense,Shopping-Clothes,Clothes,Clothes - Shopping-Clothes,Card,False,,,False,2,Tuesday,False
2023-02-15,31203.68,Expense,Credit Card Payment,Cc Bill,Credit Card Payment,Bank,True,Monthly,,False,2,Wednesday,False
2023-02-15,311.37,Expense,Fruits & Household,Household,Household - Fruits & Household,Cash,False,,,False,2,Wednesday,False
2023-02-15,865.01,Expense,Shopping-Clothes,Clothes,No Description,UPI,False,,,False,2,Wednesday,False
2023-02-15,126.77,Expense,Salon,Haircut,Haircut - Salon,Card,False,,,False,2,Wednesday,False
2023-02-15,2611.0,Expense,Atm Withdrawal,Cash Withdrawal,Atm Cash Withdrawal,Bank,False,,,False,2,Wednesday,False
2023-02-15,813.05,Expense,Shopping-Clothes,Sohes,Shoes - Shopping-Clothes,UPI,False,,,False,2,Wednesday,False
2023-02-15,57.39,Expense,Food-Snacks,Sandwich,Sandwich - Food-Snacks,Card,False,,,False,2,Wednesday,False
2023-02-16,420.11,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Card,False,,,False,2,Thursday,False
2023-02-17,257.55,Expense,Entertainment,Movie,Movie - Entertainment,Card,False,,,False,2,Friday,False
2023-02-17,623.8,Expense,Groceries,Grocery Shop,Grocery Shop - Groceries,Card,False,,,False,2,Friday,False
2023-02-17,904.87,Expense,Shopping-Clothes,Shoes,Shoes - Shopping-Clothes,UPI,False,,,False,2,Friday,False
2023-02-17,1360.51,Expense,Shopping-Clothes,Shoes,Shoes - Shopping-Clothes,UPI,False,,,False,2,Friday,False
2023-02-17,390.04,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,UPI,False,,,False,2,Friday,False
2023-02-18,50.71,Expense,Travel-Public,Metro,No Description,UPI,False,,,False,2,Saturday,True
2023-02-19,358.76,Expense,Food-Restaurant,Dineout,Dineout - Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-19,498.49,Expense,Food-Restaurant,Restaurant,Restaurant-  Food-Restaurant,UPI,False,,,False,2,Sunday,True
2023-02-19,447.62,Expense,Food-Restaurant,Restaurant,Erstaurant - Food-Restaurant,Card,False,,,False,2,Sunday,True
2023-02-20,39.31,Expense,Miscellaneous,Misc,Misc - Miscellaneous,Cash,False,,,False,2,Monday,False
2023-02-20,355.55,Expense,Entertainment,Movie,No Description,UPI,False,,,False,2,Monday,False
2023-02-20,301.7,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,UPI,False,,,False,2,Monday,False
2023-02-20,2863.0,Expense,Atm Withdrawal,Cash Withdrawal,Atm Cash Withdrawal,Bank,False,,,False,2,Monday,False
2023-02-20,116.55,Expense,Miscellaneous,Imsc,Misc - Miscellaneous,Card,False,,,False,2,Monday,False
2023-02-20,326.02,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Card,False,,,False,2,Monday,False
2023-02-21,345.41,Expense,Fruits & Household,Fruits,Fruits - Fruits & Household,UPI,False,,,False,2,Tuesday,False
2023-02-21,412.94,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Cash,False,,,False,2,Tuesday,False
2023-02-21,431.21,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Cash,False,,,False,2,Tuesday,False
2023-02-22,168.62,Expense,Stationery,Stationery,Stationery - Stationery,UPI,False,,,False,2,Wednesday,False
2023-02-22,833.63,Expense,Groceries,Grocer Yshop,Grocery Shop - Groceries,Card,False,,,False,2,Wednesday,False
2023-02-22,111.97,Expense,Miscellaneous,Misc,No Description,UPI,False,,,False,2,Wednesday,False
2023-02-22,532.43,Expense,Food-Restaurnat,Zomato,Zomato -F Ood-Restaurant,Cadr,False,,,False,2,Wednesday,False
2023-02-22,924.47,Expense,Repairs,Plumber,Plumber - Repairs,Card,False,,,False,2,Wednesday,False
2023-02-22,509.93,Expense,Food-Restaurnat,Zomato,Zomato -F Ood-Restaurant,Cadr,False,,,False,2,Wednesday,False
2023-02-23,105.55,Expense,Food-Sncaks,Coffee,Coffee - Food-Snacks,UPI,False,,,True,2,Thursday,False
2023-02-23,849.13,Expense,Groceries,Local Kirana,Local Kirana - Groceries,Card,False,,,False,2,Thursday,False
2023-02-25,44.69,Expense,Food-Snacks,Snacks,Snacks - Food-Snacks,UPI,False,,,False,2,Saturday,True
2023-02-25,318.26,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,UPI,False,,,False,2,Saturday,True
2023-02-25,1872.03,Expense,Shopping-Clothes,Sheos,No Description,UPI,False,,,False,2,Saturday,True
2023-02-25,112.01,Expense,Food-Snacks,Tea,Tea - Food-Snacks,UPI,False,,,False,2,Saturday,True
2023-02-26,632.49,Expense,Travel-Fuel,Fuel,Fuel - Travel-Fuel,Card,False,,,False,2,Sunday,True
2023-02-26,832.78,Expense,Groceries,Grocery Shop,Grocery Shop - Groceries,UPI,False,,,False,2,Sunday,True
2023-02-26,339.23,Expense,Food-Restaurant,Zomato,Zomato - Food-Restaurant,Card,False,,,False,2,Sunday,True
2023-02-27,546.42,Expense,Shopping-Other,Misc,Misc - Shopping-Other,Card,False,,,False,2,Monday,False
2023-02-28,145.89,Expense,Fruits & Household,Fruits,Fruits - Fruits & Household,Card,False,,,False,2,Tuesday,False
2023-02-28,346.91,Expense,Fruits & Household,Household,Household - Fruits & Household,UPI,False,,,False,2,Tuesday,False
2023-02-28,144.72,Expense,Fruits & Household,Fruits,Fruits - Fruits & Household,Card,False,,,False,2,Tuesday,False
2023-03-01,185.1,Expense,Travel-Public,Auto,Auto - Travel-Public,Cash,False,,,False,3,Wednesday,False
2023-03-01,2017.0,Expense,Atm Withdrawal,Cash Withdrawal,Atm Cash Withdrawal,Bank,False,,,False,3,Wednesday,False
2023-03-02,2587.0,Expense,Atm Withdrawal,Cash Withdrawal,Atm Cash Withdrawal,Bank,False,,,False,3,Thursday,False
2023-03-02,102.03,Expense,Miscellaneous,Misc,Misc - Miscellaneous,UPI,False,,,False,3,Thursday,False
2023-03-02,25.97,Expense,Travel-Public,Bus,Bus - Travel-Public,Card,False,,,False,3,Thursday,False
2023-03-02,4200.0,Expense,Mess Fee,Monthly Mses,Mess Monthly Fee,UPI,True,Monthly,RECUR_002,False,3,Thursday,False
